"min1","min2","min3","min4","min5","min6","min7","min8","min9","min10","min11","min12","max1","max2","max3","max4","max5","max6","max7","max8","max9","max10","max11","max12","avg1","avg2","avg3","avg4","avg5","avg6","avg7","avg8","avg9","avg10","avg11","avg12","rain1","rain2","rain3","rain4","rain5","rain6","rain7","rain8","rain9","rain10","rain11","rain12"
-2.7,-2.3,-2,0.1,3.3,6.1,8,7.7,5,2.1,-0.8,-2.5,2.7,3.2,3.7,6.1,9.4,11.8,13.4,13,10.5,7.4,4.4,3,0.23333,0.57778,1.0222,3.2,6.4444,8.9667,10.767,10.456,7.9222,4.9778,2.0444,0.5,99.444,100.22,98.556,75.333,65.778,62.778,61,83.444,90.778,113.89,105.11,111.11
-3.5,-3,-2.8,-0.7,2.4,5.2,7.1,6.9,4.2,1.3,-1.7,-3.4,3.1,3.6,3.9,6.1,9.5,11.7,13.5,13.1,10.5,7.2,4.5,3.4,-0.066667,0.46667,0.68889,2.9111,6.1111,8.6222,10.422,10.144,7.4778,4.4222,1.4889,0.12222,101.89,95,95,74.333,66.556,62.222,65.222,82.778,88.222,113.44,102.33,101.89
-1.7,-1.3,-1.3,0.6,3.5,6.2,7.9,7.9,5.4,2.6,-0.3,-1.6,3.8,4.1,4.2,6.2,9.1,11.2,12.9,12.7,10.1,7.3,4.9,4,1.06,1.4667,1.5533,3.56,6.3933,8.7733,10.46,10.367,7.8667,5.0333,2.3467,1.2267,123.53,108.67,109.47,90.8,79.067,76.667,77.533,100.07,102.67,135.93,118.2,119.33
-0.2,0.1,0,1.8,4.5,6.9,8.5,8.6,6.4,3.7,0.9,-0.2,4.1,4.4,4.6,6.5,9,10.9,12.6,12.4,10.1,7.6,5.2,4.2,1.9,2.2,2.25,4.1,6.65,8.85,10.5,10.45,8.2,5.6,3.05,2,139,122,122,103.5,90,87,85,111,114,151,132,135
-6.7,-6.3,-6.3,-4.5,-1.6,1.1,3,3,0.4,-2.4,-5.3,-6.6,2.4,2.7,2.9,4.9,7.7,10,11.7,11.5,8.9,6,3.5,2.6,-2.3471,-2.0176,-1.9294,0.041176,3.0118,5.6706,7.4706,7.3471,4.6294,1.6176,-1.1118,-2.2235,154.18,135.65,139.41,118.82,105.65,107,104.94,132.82,125.35,165,141.35,145.94
-1.6,-1.2,-1.2,0.6,3.3,5.9,7.6,7.6,5.3,2.5,-0.3,-1.5,3.9,4.3,4.5,6.4,9.1,11.3,12.8,12.7,10.2,7.5,5.1,4.2,1.22,1.58,1.72,3.58,6.28,8.66,10.3,10.26,7.8,5.04,2.46,1.4,142.2,124.4,125.4,106.8,95.6,99.4,94.2,122.8,119.2,160,132.4,134.6
-5.5,-5,-5,-3.1,-0.1,2.7,4.6,4.5,1.8,-1,-4,-5.3,3.7,4,4.4,6.5,9.4,11.9,13.3,13.1,10.5,7.5,5,4,-0.61667,-0.23333,0,2,4.9444,7.6167,9.2833,9.1667,6.4944,3.4722,0.77222,-0.4,147,130.61,132.61,113.33,104.5,115.83,106.94,138.22,126.89,170.33,135.11,137.44
-1.3,-0.9,-0.8,1,3.7,6.2,7.9,7.9,5.6,2.8,0,-1.2,3.8,4.2,4.6,6.7,9.4,11.9,13.4,13.2,10.6,7.7,5.1,4.2,1.3333,1.7167,1.9333,3.85,6.6,9.1,10.7,10.617,8.1333,5.3,2.6667,1.55,145.17,129,129.67,111,103.17,115.5,104,136.67,127.17,172,133.83,135.83
-4.8,-4.4,-4.3,-2.2,0.9,3.7,5.5,5.4,3,0.3,-2.8,-4.5,2.2,2.6,3.1,5.6,8.6,11.2,12.9,12.5,9.8,6.7,3.8,2.5,-1,-0.6,-0.3125,1.95,5.025,7.8,9.575,9.275,6.7375,3.775,0.825,-0.7125,106.75,105.25,98.125,75.75,64.375,63.75,60.125,81.625,90,122,100.25,106.38
-5.4,-5,-4.9,-2.6,0.6,3.7,5.5,5.2,2.8,0,-3.4,-5.2,2,2.5,2.9,5.4,8.3,10.8,12.5,12.1,9.4,6.3,3.2,2.1,-1.96,-1.5,-1.2933,1.06,4.0933,6.8933,8.66,8.3133,5.74,2.7667,-0.44667,-1.82,124.93,119,108.27,83.133,73,73.2,66.333,90.2,98.133,139.4,102.27,118
-4.4,-4,-3.9,-1.8,1.3,4.2,6,5.9,3.4,0.6,-2.4,-4.2,2,2.4,2.8,5.3,8.4,11.1,12.8,12.4,9.7,6.5,3.6,2.2,-1.18,-0.78,-0.52,1.76,4.78,7.52,9.3,9.02,6.52,3.54,0.56,-0.94,113.2,110.8,102.8,79.2,68.6,67.6,62.8,85.6,94,128,103,111.4
-6.5,-6.1,-6,-3.6,-0.1,2.9,4.7,4.5,2.1,-0.8,-4.5,-6.2,0.8,1.3,1.6,4.1,7,9.6,11.3,10.9,8.1,5,1.8,0.8,-3.0231,-2.6,-2.4154,0.030769,3.3385,6.2154,7.9846,7.6462,5,1.9231,-1.5231,-2.8846,125,117.77,107.46,82.308,72.692,73,66.538,90.615,97.538,138.92,99.154,117.08
-5,-4.5,-4.3,-2.1,1.2,4.4,6.3,6.1,3.3,0.3,-2.8,-4.7,1.8,2.2,2.7,5.3,8.9,11.4,13.2,12.8,10,6.6,3.6,2.2,-1.1417,-0.68333,-0.375,2.0333,5.45,8.325,10.158,9.875,7.0833,3.8333,0.9,-0.78333,81.583,80.75,77.917,58.667,49.583,47.667,51.333,65.417,73.417,96.833,85.5,81.5
-2.7,-2.2,-2,0.1,3.5,6.4,8.3,8.1,5.3,2.3,-0.7,-2.5,2.4,2.9,3.4,5.8,9.3,11.7,13.5,13,10.3,7.2,4.1,2.8,-0.0625,0.375,0.7625,3.025,6.4,9.0625,10.862,10.562,7.8625,4.7875,1.7875,0.2125,89.25,89,87.5,65.875,57.5,54.75,56.25,74,81.625,103.62,94.625,96
-5.9,-5.4,-5.3,-3,0.4,3.5,5.4,5.2,2.4,-0.6,-3.9,-5.6,1.5,2.1,2.5,5.1,8.8,11.3,13.1,12.7,9.8,6.3,3.3,1.8,-2.0059,-1.4882,-1.2765,1.1471,4.6412,7.5059,9.3412,9.0529,6.1647,2.8588,-0.2,-1.7294,89.529,84.118,84.118,64.588,55.941,52.941,58.941,73.118,78.118,101.47,89.882,87.176
-4.7,-4.2,-4.1,-1.9,1.2,4.2,6,5.9,3.1,0.1,-2.9,-4.5,2.1,2.8,3.2,5.7,9.3,11.6,13.4,13,10.2,6.8,3.7,2.3,-1.3556,-0.81667,-0.58333,1.7444,5.1056,7.7944,9.6556,9.3278,6.5167,3.3,0.3,-1.1444,96.944,90.833,91.5,70.778,62.944,58.833,63.611,79.278,83.889,108.06,97.389,95.667
-7.2,-6.8,-6.7,-4.4,-0.8,2.3,4.2,4,1.4,-1.6,-5,-6.9,1.6,2,2.4,5.1,8.3,11.1,12.7,12.4,9.5,6.2,3.2,1.9,-2.7882,-2.3765,-2.1647,0.31765,3.7882,6.8176,8.6353,8.3765,5.5471,2.2882,-0.87647,-2.4824,94.471,90.824,85.765,65.176,54.706,53.824,56,71.882,79.412,109.06,87.412,89.353
-6.3,-5.8,-5.7,-3.4,0.1,3.2,5.2,5,2.2,-0.8,-4.1,-5.9,1.8,2.2,2.6,5.2,8.4,11.1,12.9,12.5,9.6,6.4,3.5,2.1,-1.7533,-1.3267,-1.0667,1.3867,4.74,7.76,9.5867,9.34,6.5067,3.26,0.31333,-1.3667,83.933,82.6,79.067,59.867,49.467,48.133,51.8,65.8,74.067,99.667,85.6,81.6
-7,-6.6,-6.4,-4.1,-0.3,2.9,4.8,4.7,1.9,-1.2,-4.6,-6.5,0.7,1.2,1.4,4.1,7.8,10.6,12.4,12,9,5.4,2.4,1,-2.9842,-2.6053,-2.3842,0.14737,3.8211,6.9053,8.7579,8.4895,5.5842,2.1684,-1.0211,-2.6579,82.842,78.158,76.684,58.053,48.053,46.842,53.105,66.421,72.579,95.789,80.947,79.053
-6,-5.6,-5.4,-3.1,0.4,3.6,5.5,5.3,2.5,-0.6,-3.8,-5.7,1,1.5,1.8,4.5,8.2,10.9,12.7,12.3,9.3,5.8,2.7,1.3,-2.4923,-2.0308,-1.8154,0.68462,4.2615,7.2231,9.0769,8.8077,5.8846,2.5308,-0.59231,-2.1923,85.077,80.231,79.385,60.615,51.154,49.231,55.538,69.077,74.462,97.769,85,82.077
-7.3,-7,-6.9,-4.3,-0.3,3,4.8,4.6,2.1,-1.1,-4.9,-6.8,-0.4,0,0.3,3,6.6,9.6,11.4,11.1,8,4.4,1.1,-0.2,-3.8,-3.4714,-3.2429,-0.58571,3.1286,6.2143,8.0286,7.7714,4.9714,1.6143,-1.8714,-3.4714,98.143,92,86,65.143,55.143,55.857,55.714,74.143,81.286,112.43,83.714,92.286
-7.6,-7.3,-7.2,-4.7,-0.8,2.5,4.3,4.2,1.5,-1.7,-5.3,-7.2,0.5,0.9,1.2,3.9,7.2,10.1,11.9,11.5,8.5,5.1,1.9,0.7,-3.7471,-3.3706,-3.2059,-0.61176,3.0412,6.1176,7.9529,7.6765,4.8353,1.4941,-1.8706,-3.4471,99,93.882,88.412,67.176,56.882,56.353,57.647,75.235,82.059,112.94,86.706,93.294
-8.1,-7.8,-7.7,-5.2,-1.2,2.1,3.9,3.8,1.1,-2.1,-5.7,-7.7,-0.1,0.2,0.4,3.3,7.1,10,11.8,11.5,8.4,4.7,1.6,0.1,-4.0143,-3.6714,-3.5071,-0.87143,2.9857,6.1429,7.9786,7.7714,4.8357,1.3357,-1.9929,-3.6571,84.286,79.357,77.286,58.714,48,47.357,53.214,67.357,73.5,96.929,79.429,80.071
-8.9,-8.5,-8.5,-6.4,-2.9,0.2,2.1,2,-0.8,-3.9,-7.1,-8.7,0.4,0.9,1.1,3.6,7.2,9.8,11.7,11.3,8.3,4.8,1.9,0.6,-4.1412,-3.7412,-3.6529,-1.3588,2.1471,5.1,7.0118,6.7706,3.7882,0.47647,-2.5882,-3.9353,115.65,104.35,107.47,86.765,74.412,71.765,78.235,96.706,95.529,123.29,109.53,110.47
-5.5,-5,-5,-2.9,0.3,3.2,5.1,5,2.2,-0.7,-3.8,-5.3,2.7,3.1,3.3,5.5,8.6,10.8,12.6,12.3,9.6,6.6,4,2.9,-1.0889,-0.65556,-0.52778,1.6389,4.8056,7.4389,9.2333,9.0278,6.3167,3.2222,0.37222,-0.91111,115.28,102.72,104.39,85,73.778,71.444,75.111,94.889,96.222,126,110.67,110.89
-9,-8.6,-8.5,-6.5,-3.1,0,2,1.9,-1,-4.1,-7.3,-8.8,0.1,0.5,0.7,3.1,6.5,9.3,11.1,10.7,7.7,4.2,1.4,0.3,-4.26,-3.88,-3.78,-1.5267,1.9667,4.96,6.8467,6.5867,3.5667,0.22,-2.7867,-4.0667,123.33,108.73,113,92.667,79.6,80.267,85.6,106.87,102,132.07,114.87,117
-5.9,-5.5,-5.4,-3.4,-0.2,2.7,4.6,4.5,1.7,-1.2,-4.3,-5.8,2.2,2.5,2.7,4.9,8,10.4,12.1,11.8,9,6,3.4,2.4,-2.15,-1.7778,-1.6333,0.51111,3.6722,6.4611,8.2444,8.0611,5.2222,2.0667,-0.76667,-1.9833,130.72,114.67,117.78,98.611,86.167,88.167,89.556,113.44,108.5,143,122.06,123.94
-6.9,-6.6,-6.5,-4.2,-0.5,2.8,4.6,4.5,1.7,-1.3,-4.7,-6.6,1.1,1.5,1.6,4.3,8,10.8,12.5,12.2,9.2,5.6,2.7,1.3,-2.9684,-2.5895,-2.4368,0.015789,3.7316,6.8,8.5947,8.3632,5.4526,2.0632,-1.1105,-2.6632,84.842,76.632,77.737,60.053,48.316,48.211,56.474,71.158,74.211,95.526,82.474,81.105
-7.1,-6.7,-6.6,-4.4,-0.9,2.1,4,3.9,1.1,-1.9,-5.2,-6.9,0.6,1.1,1.3,4,7.7,10.4,12.2,11.9,8.8,5.2,2.2,0.9,-3.1923,-2.7923,-2.6385,-0.26154,3.3154,6.3154,8.1615,7.9308,4.9769,1.6,-1.4846,-2.9385,96.692,87.308,89.077,70.308,58.538,57.462,64.923,81.077,82.538,106.85,93.231,92.385
-9.6,-9.3,-9.2,-7,-3.3,0,2,1.8,-1.1,-4.2,-7.6,-9.3,1.2,1.6,1.8,4.5,8.2,11.1,12.8,12.5,9.3,5.7,2.8,1.5,-4.0667,-3.7222,-3.55,-1.1667,2.5889,5.7556,7.6222,7.3611,4.3,0.83333,-2.2778,-3.7778,90.722,79.556,82.944,64.556,51.278,52.278,62.389,78.444,78.056,99.167,86.556,86.611
-8.4,-8,-7.9,-5.8,-2.3,0.8,2.8,2.6,-0.3,-3.4,-6.6,-8.2,-0.6,-0.3,-0.1,2.4,6.2,9.3,11,10.6,7.4,3.6,0.7,-0.4,-4.1118,-3.7176,-3.5471,-1.2412,2.4235,5.5059,7.3706,7.1118,4.0118,0.58235,-2.4941,-3.8706,105.59,92.765,96.471,77.176,64.353,65.471,73.471,92,88.882,114.94,99.824,100.59
-6.4,-6.1,-5.9,-3.6,0.1,3.5,5.3,5.2,2.4,-0.6,-4.1,-6,0.4,0.8,0.9,3.5,7.4,10.4,12.1,11.8,8.7,5.1,2.1,0.7,-2.95,-2.625,-2.475,0.0375,3.8375,7.0125,8.775,8.575,5.6875,2.2625,-0.95,-2.575,75.125,67.375,68.625,52,39.75,40.875,49.5,63.625,67.5,85.75,73.25,72.125
-8.2,-7.9,-7.8,-5.6,-1.9,1.4,3.3,3.1,0.4,-2.7,-6,-7.8,0.9,1.2,1.3,4,7.8,10.8,12.4,12.2,9.1,5.5,2.6,1.2,-3.4538,-3.1462,-3.0231,-0.64615,3.1231,6.3462,8.1,7.9154,4.9923,1.6154,-1.5385,-3.1154,76.077,67.077,69.846,52.692,38.692,40.385,51.154,66,67.692,84.231,73.769,72.923
-10.8,-10.4,-10.3,-8.3,-4.8,-1.6,0.4,0.3,-2.7,-5.7,-9,-10.5,-0.6,-0.2,0,2.5,6.1,9.2,10.9,10.5,7.2,3.4,0.6,-0.4,-5.1214,-4.7286,-4.5357,-2.2929,1.2643,4.4071,6.2786,6.0071,2.8714,-0.59286,-3.6,-4.8857,130.64,113.93,119.07,97.786,85.429,89.357,93.786,116.79,108.14,140.86,119.71,123.5
-7.6,-7.1,-7,-5,-1.7,1.2,3.2,3,0.2,-2.7,-5.9,-7.4,0,0.3,0.6,2.9,6.2,9.2,10.8,10.5,7.5,3.9,1.2,0.2,-3.2333,-2.8444,-2.6389,-0.48333,2.8,5.7278,7.5389,7.3167,4.3389,1.0889,-1.8056,-3.0222,139.94,122.94,126.83,106.39,95.778,102.56,101.22,127.94,117.67,155.83,128.17,131.61
-9.6,-9.3,-9.2,-7.1,-3.3,0,2,1.8,-1.1,-4.2,-7.5,-9.3,0.4,0.9,1.3,4.2,8.4,11.7,13.2,12.8,9.2,5,2,0.7,-5.0133,-4.6333,-4.4133,-2.0133,1.8333,5.2067,7.0333,6.7267,3.4867,-0.12667,-3.26,-4.7267,92.467,78.733,83.467,64.333,51.133,52.8,64.467,80.267,78.333,99.333,87.533,88.467
-9.2,-8.8,-8.6,-6.6,-3.1,0.1,2,1.9,-1.1,-4.1,-7.4,-8.9,-1.8,-1.4,-1.2,1.4,5.3,8.5,10.3,9.9,6.4,2.4,-0.4,-1.5,-5.2714,-4.8786,-4.6643,-2.3571,1.3714,4.6143,6.4929,6.1929,2.9786,-0.6,-3.65,-5.0143,113.57,97.643,102.86,82.214,69.5,72.5,80.786,100.43,94.786,122.21,105.21,107.93
-8.3,-7.9,-7.8,-5.7,-2,1.3,3.2,3.1,0.3,-2.7,-6.1,-7.9,1.5,1.8,1.7,4.3,8.2,11.3,12.9,12.6,9.4,5.8,3.3,2,-3.4385,-3.1154,-3.0077,-0.76923,2.8923,6.1462,7.9154,7.7,4.8308,1.5308,-1.5154,-3.0538,73.308,63.692,67.308,49.769,34.615,36.769,49.231,63.692,65.308,79.769,71.385,70.308
-3.1,-2.7,-2.5,-0.5,2.3,5.1,6.8,6.8,4.2,1.4,-1.5,-3,3.6,4,4.4,6.5,9.3,12,13.4,13.2,10.6,7.5,5,4,0.55714,0.95,1.2643,3.2786,6.1143,8.8429,10.407,10.3,7.7571,4.7643,2.0786,0.85,137.36,122.07,121.29,101.57,94.857,107.71,98.357,129.43,121.64,165.71,124.93,128.64
-5.1,-4.7,-4.6,-2.8,0.1,2.8,4.6,4.6,2.3,-0.4,-3.3,-4.8,3.3,3.6,4,6.1,8.9,11.6,13.1,12.9,10.3,7.3,4.8,3.7,-0.1875,0.1625,0.4375,2.3875,5.175,7.9,9.5,9.475,7.0125,4.1625,1.425,0.15,139,123,119.38,96.25,89.125,95,90.625,119.88,118.88,163.25,122.25,131.88
-12.4,-12.1,-12.1,-10.2,-6.8,-3.7,-1.6,-1.6,-4.5,-7.5,-10.7,-12.2,-2.3,-2,-1.8,0.5,4,7.4,9.2,8.9,5.7,1.9,-0.9,-2,-7.1071,-6.8071,-6.6571,-4.55,-1.0643,2.2071,4.1714,3.9571,0.88571,-2.5286,-5.5643,-6.8786,150.21,130.86,137.36,111.71,98,101.43,106.21,131.36,122.21,157.57,133.57,142.29
-11,-10.7,-10.6,-8.8,-5.5,-2.4,-0.4,-0.4,-3.2,-6.2,-9.3,-10.8,0.6,0.9,1.3,3.5,6.7,9.6,11.3,11,8.1,4.6,2,0.9,-5.3833,-5.0667,-4.8722,-2.8278,0.43889,3.5389,5.4111,5.2278,2.3111,-0.98333,-3.8722,-5.1389,157.89,138.94,143.28,118.56,107.06,112.94,112.11,140.83,129.89,170.78,139.89,148.89
-9.5,-9.1,-9,-6.9,-3.3,0,1.9,1.7,-1.2,-4.2,-7.5,-9.2,0.9,1.2,1.5,4,7.7,10.9,12.4,12.1,9,5.4,2.5,1.3,-3.84,-3.5067,-3.2667,-0.96,2.6667,5.9533,7.7333,7.46,4.44,0.98,-2.0733,-3.54,89.667,74.533,79.333,59.933,46.733,50.067,60.8,76.933,77.6,98.667,85.467,86.467
-9,-8.6,-8.4,-6.4,-2.8,0.4,2.4,2.2,-0.7,-3.8,-7.1,-8.8,-0.6,-0.3,0,2.5,6.2,9.5,11.2,10.8,7.5,3.7,0.8,-0.2,-4.7643,-4.4071,-4.1571,-1.9214,1.6714,4.9071,6.7571,6.4714,3.3714,-0.085714,-3.1143,-4.4929,114,96.714,101.5,80.071,67.714,71.786,79.5,99.571,95.786,124.29,104.93,108.71
-8.6,-8.3,-8.1,-6.2,-2.7,0.6,2.6,2.4,-0.3,-3.2,-6.4,-8.2,1.6,1.9,2,4.3,7.8,11,12.5,12.2,9.5,6,3.3,2,-2.95,-2.65,-2.55,-0.45833,3.0083,6.2167,7.9667,7.7833,5.0917,1.9333,-1.0167,-2.5667,75.333,63.667,68.167,49.833,34.167,37.75,49.583,64.583,68,82.583,73.5,72.667
-11.6,-11.3,-11.3,-9.4,-6.1,-3.1,-1,-1,-3.7,-6.6,-9.8,-11.3,-1.4,-1.1,-0.9,1.2,4.4,7.7,9.5,9.2,6.3,2.8,0.1,-1,-6.0733,-5.8,-5.66,-3.68,-0.44667,2.74,4.6267,4.5,1.7533,-1.4667,-4.46,-5.7667,151.6,131.47,135.13,107.27,95,96.6,101.2,127,124.2,161.6,132.27,144.73
-11.2,-10.9,-10.8,-9,-5.8,-2.8,-0.7,-0.7,-3.4,-6.3,-9.5,-11,1.7,2,2.4,4.4,7.1,10,11.6,11.4,8.9,5.8,3.3,2.2,-5.7722,-5.5222,-5.3389,-3.4333,-0.32222,2.7556,4.6611,4.55,1.8444,-1.3333,-4.2167,-5.4944,166.72,146.72,148.61,119.89,109,110.39,111.56,140.61,135.28,178.17,143.56,158.06
-9.5,-9.3,-9.2,-7.4,-4.3,-1.4,0.5,0.6,-1.7,-4.6,-7.7,-9.3,-0.4,-0.3,0.1,1.9,4.7,7.9,9.7,9.4,7.1,3.9,1.1,0,-4.7824,-4.5882,-4.3882,-2.5353,0.45294,3.5118,5.3471,5.2765,2.8765,-0.14118,-3.0882,-4.4529,152.53,132.24,132.88,101.76,93,91.235,96.706,123.18,127.59,166.53,130.06,145.47
-9.5,-9.2,-9.2,-7.3,-4.3,-1.4,0.5,0.6,-1.8,-4.6,-7.7,-9.2,2.7,3,3.4,5.4,8,10.8,12.3,12.2,9.8,6.9,4.3,3.2,-2.0286,-1.7571,-1.5214,0.37857,3.0786,5.9429,7.6214,7.6286,5.3643,2.5071,-0.31429,-1.6643,146.86,130.36,123.93,95.571,88.643,86.643,87.714,116.14,122.36,166.57,123.57,141.14
-7.9,-7.6,-7.4,-5.5,-2.2,0.8,2.7,2.7,0.2,-2.6,-5.8,-7.5,0.2,0.5,0.7,3.2,6.7,10,11.6,11.3,8.3,4.6,1.8,0.6,-3.6611,-3.4167,-3.2278,-1.15,2.1944,5.3722,7.1667,7.0056,4.3222,1.1222,-1.85,-3.3389,101.11,83.722,89.056,67,52.667,57.444,66.667,84.333,88.667,112.17,94.889,98.222
-9.1,-8.8,-8.6,-6.7,-3.4,-0.4,1.6,1.5,-1,-4,-7.2,-8.8,-0.6,-0.2,0,2.4,5.9,9.2,10.9,10.6,7.4,3.7,0.9,-0.2,-4.4588,-4.1706,-3.9765,-1.9176,1.3765,4.5235,6.3471,6.1882,3.4529,0.22941,-2.7588,-4.1176,122.65,104.29,108.12,83.824,70.941,74.647,81.353,102.88,104,134.47,111,117.94
-8.1,-7.9,-7.8,-5.9,-2.6,0.4,2.3,2.4,0.1,-2.7,-5.9,-7.7,-0.1,0,0.3,2.2,5.2,8.3,10.1,9.9,7.5,4.3,1.5,0.3,-4.0524,-3.9048,-3.6619,-1.7762,1.3762,4.481,6.3143,6.2238,3.8476,0.78095,-2.2238,-3.7,118.38,97.333,103.33,76.857,64.667,67.524,76.857,96.19,105.48,131.81,107.71,113.71
-7.4,-7.2,-7,-5.1,-2,0.9,2.8,2.8,0.6,-2.2,-5.3,-7.1,-0.8,-0.7,-0.3,1.5,4.6,7.9,9.7,9.4,6.8,3.5,0.8,-0.4,-3.9769,-3.8154,-3.5538,-1.6846,1.3692,4.4308,6.2615,6.1692,3.8,0.76923,-2.2154,-3.6385,132.54,112.46,115,86.462,76.462,77.077,84.462,107.31,114.62,147.46,116.23,127.23
-5.5,-5.4,-5.2,-3.4,-0.1,3.1,4.9,4.9,2.7,-0.1,-3.2,-5.1,0.9,1,1.1,3.3,6.8,9.9,11.5,11.3,8.7,5.4,2.6,1.3,-2.3286,-2.1857,-2.0857,-0.085714,3.1857,6.3714,8.1143,8.0429,5.7,2.6714,-0.31429,-1.9143,74.429,58.429,66,47.429,31,37.571,48.143,61.286,71.571,84.714,76,73.286
-7.2,-6.9,-6.8,-4.9,-1.6,1.6,3.5,3.4,1,-1.7,-4.9,-6.7,1.3,1.6,1.7,3.9,7.3,10.4,12,11.8,9.1,5.8,3,1.8,-2.8438,-2.625,-2.4688,-0.44375,2.875,6,7.7688,7.6562,5.1688,2.0812,-0.89375,-2.4375,84.125,67.812,74.25,54.5,38.5,44.312,54.688,69.688,77.438,94.438,82.562,82.188
-5.9,-5.8,-5.6,-3.7,-0.3,2.7,4.5,4.6,2.5,-0.3,-3.5,-5.5,0.8,0.9,1.1,3.2,6.4,9.5,11.2,11,8.6,5.3,2.6,1.2,-2.45,-2.3667,-2.15,-0.15,3.0667,6.2,7.9167,7.85,5.65,2.5833,-0.38333,-2.0333,81.167,61.667,70.833,50.833,35.667,42.5,53.167,65.667,79.833,94.167,82.833,80.333
-7.2,-7.1,-6.9,-5,-1.7,1.3,3.2,3.2,1,-1.7,-5,-6.8,1,1.1,1.4,3.4,6.4,9.6,11.2,11.1,8.7,5.5,2.8,1.4,-3.0952,-2.9905,-2.7524,-0.82381,2.3619,5.4667,7.2762,7.2,4.9381,1.8667,-1.1381,-2.719,97.667,76.619,84.857,62,48.19,53.476,63.762,79.048,91.905,111,93.952,94.524
